league_name,matchID,homeID,home_name,awayID,away_name,predictedTeam,our_prediction,winningTeam,betting_score,MCS,LTAS,normalized_LTAS,TTAS,normalized_TTAS,MCS_CW,LTAS_CW,TTAS_CW,date_unix,Prob_Draw,Prob_Away_Win,Prob_Home_Win,best_bookmaker,best_odd
denmark_superliga,7452333_2024/2025,2516,AGF,2525,Lyngby,2516,Home Win,-1,0.7657901515151514,0.7878787878787878,0.76,0.76,71.425,0.7142499999999999,0.7,0.0,0.3,1730646000,0.1606060606060606,0.051515151515151514,0.7878787878787878,1xbet,1.47
czech_republic_first_league,7468186_2024/2025,86,Sparta Praha,2432,Baník Ostrava,86,Home Win,-1,0.7610934848484847,0.7212121212121212,0.8405797101449275,0.8405797101449275,85.41499999999999,0.85415,0.7,0.0,0.3,1730570400,0.2,0.0787878787878788,0.7212121212121212,Dafabet,1.43
spain_la_liga,7465116_2024/2025,287,CA Osasuna,297,Real Valladolid,287,Home Win,-1,0.7602131818181818,0.7454545454545454,0.7848101265822784,0.7848101265822784,79.465,0.7946500000000001,0.7,0.0,0.3,1730552400,0.16666666666666666,0.08787878787878789,0.7454545454545454,1xbet,1.67
greece_super_league,7537353_2024/2025,5131,Aris,1108,Levadiakos,5131,Home Win,-1,0.7598910606060606,0.8151515151515152,0.6666666666666666,0.6666666666666666,63.095,0.63095,0.7,0.0,0.3,1730644200,0.15454545454545454,0.0303030303030303,0.8151515151515152,1xbet,1.56
denmark_superliga,7452337_2024/2025,955,Midtjylland,2517,Brøndby,955,Home Win,-1,0.7570471212121213,0.7303030303030303,0.76,0.76,81.945,0.8194499999999999,0.7,0.0,0.3,1730638800,0.14545454545454545,0.12424242424242424,0.7303030303030303,Pncl,2.4
france_ligue_2,7468969_2024/2025,494,Paris,1399,Rodez,494,Home Win,-1,0.7539393939393939,0.6484848484848484,0.8333333333333334,0.8333333333333334,100.0,1.0,0.7,0.0,0.3,1730487600,0.21515151515151515,0.13636363636363635,0.6484848484848484,Dafabet,1.73
spain_segunda_division,7481488_2024/2025,296,Almería,294,Córdoba,296,Home Win,-1,0.753205606060606,0.7515151515151515,0.7142857142857143,0.7142857142857143,75.715,0.75715,0.7,0.0,0.3,1730646900,0.19090909090909092,0.05757575757575757,0.7515151515151515,Dafabet,1.71
belgium_pro_league,7454755_2024/2025,2568,Beerschot-Wilrijk,525,KAA Gent,525,Away Win,-1,0.7515151515151516,0.687878787878788,0.7666666666666667,0.7666666666666667,90.0,0.9,0.7,0.0,0.3,1730657700,0.19090909090909092,0.687878787878788,0.12121212121212122,bwin,1.8
england_efl_league_one,7477983_2024/2025,258,Stevenage,261,Cambridge United,258,Home Win,-1,0.7511692424242423,0.7606060606060606,0.7441860465116279,0.7441860465116279,72.91499999999999,0.72915,0.7,0.0,0.3,1729622700,0.2121212121212121,0.02727272727272727,0.7606060606060606,Unknown,1.0
england_premier_league,7466774_2024/2025,146,Southampton,144,Everton,144,Away Win,-1,0.7451515151515151,0.6787878787878787,0.75,0.75,90.0,0.9,0.7,0.0,0.3,1730559600,0.17575757575757575,0.6787878787878787,0.14545454545454545,Interwetten,2.75
france_ligue_1,7468442_2024/2025,440,Nantes,443,Olympique Marseille,443,Away Win,-1,0.7421449999999999,0.8,0.7288135593220338,0.7288135593220338,60.715,0.6071500000000001,0.7,0.0,0.3,1730663100,0.15151515151515152,0.8,0.048484848484848485,1xbet,2.06
england_efl_league_one,7719522_2024/2025,268,Exeter City,219,Reading,268,Home Win,-1,0.740899393939394,0.7484848484848485,0.7441860465116279,0.7441860465116279,72.32,0.7232,0.7,0.0,0.3,1729622700,0.16666666666666669,0.08484848484848484,0.7484848484848485,Unknown,1.0
turkey_super_lig,7516386_2024/2025,10639,Eyüpspor,10059,Hatayspor,10639,Home Win,-1,0.7405584848484847,0.7212121212121212,0.7352941176470589,0.7352941176470589,78.57,0.7857,0.7,0.0,0.3,1730638800,0.22424242424242424,0.05454545454545455,0.7212121212121212,1xbet,1.79
poland_ekstraklasa,7450771_2024/2025,789,Puszcza Niepołomice,961,Lech Poznań,961,Away Win,-1,0.736060606060606,0.7515151515151515,0.7625,0.7625,70.0,0.7,0.7,0.0,0.3,1730574900,0.19090909090909092,0.7515151515151515,0.05757575757575757,NordicBet,1.68
spain_segunda_division,7481497_2024/2025,299,Real Zaragoza,282,Granada CF,282,Away Win,-1,0.7355681818181818,0.7454545454545455,0.7142857142857143,0.7142857142857143,71.25,0.7125,0.7,0.0,0.3,1730568600,0.17575757575757575,0.7454545454545455,0.0787878787878788,Pncl,3.74
spain_la_liga,7465119_2024/2025,288,Valencia CF,84,Real Madrid,84,Away Win,-1,0.7348766666666666,0.7666666666666666,0.7848101265822784,0.7848101265822784,66.07,0.6607,0.7,0.0,0.3,1730577600,0.12121212121212122,0.7666666666666666,0.11212121212121212,1xbet,1.5
germany_2_bundesliga,7491582_2024/2025,53,Paderborn,128,Eintracht Braunschweig,53,Home Win,-1,0.7302980303030302,0.7575757575757576,0.7540983606557377,0.7540983606557377,66.66499999999999,0.66665,0.7,0.0,0.3,1730637000,0.18484848484848485,0.05757575757575757,0.7575757575757576,1xbet,1.71
