matchID,predictedTeam,winningTeam,is_correct,betting_score,betting_score_interval,home_name,away_name
7467603_2024/2025,3772,3771,False,70.8491515151515,70-75,Paksi SE,Diósgyőr
7467604_2024/2025,962,962,True,61.84898484848485,60-65,Videoton,Kecskeméti TE
7467605_2024/2025,119,-1,False,93.61407575757576,90-95,Ferencváros,Debrecen
7295171_2024,72,72,True,71.10037878787878,70-75,Rosenborg,Strømsgodset
7295175_2024,336,336,True,69.91072727272729,65-70,Odd,Brann
7295176_2024,1471,-1,False,59.22298484848484,55-60,Fredrikstad,Kristiansund
7295177_2024,335,335,True,77.66766666666666,75-80,Viking,Sandefjord
7465112_2024/2025,285,-1,False,61.56148484848485,60-65,Athletic Club Bilbao,Real Betis
7465113_2024/2025,117,117,True,72.66146969696969,70-75,Atlético Madrid,UD Las Palmas
7465115_2024/2025,312,312,True,60.44740909090909,60-65,Girona FC,Leganés
7465116_2024/2025,287,287,True,76.02131818181817,75-80,CA Osasuna,Real Valladolid
7465117_2024/2025,298,277,False,61.41660606060606,60-65,Deportivo Alavés,RCD Mallorca
7469678_2024/2025,83,83,True,86.76186363636363,85-90,FC Barcelona,RCD Espanyol
7455969_2024/2025,3607,-1,False,59.46640909090909,55-60,CSKA 1948 Sofia,Beroe
7455972_2024/2025,9985,9985,True,54.67803030303029,50-55,Lokomotiv Sofia 1929,Arda
7455976_2024/2025,111,111,True,89.14437878787878,85-90,Ludogorets,Hebar 1918
7492240_2024/2025,518,463,False,58.273227272727254,55-60,Como,Lazio
7450766_2024/2025,1224,1224,True,54.995409090909085,50-55,Górnik Zabrze,Jagiellonia Białystok
7450768_2024/2025,1223,1223,True,82.4891818181818,80-85,Lechia Gdańsk,Cracovia Kraków
7450769_2024/2025,112,112,True,59.588530303030296,55-60,Legia Warszawa,Widzew Łódź
7450770_2024/2025,8265,8265,True,56.852772727272715,55-60,Motor Lublin,Pogoń Szczecin
7450771_2024/2025,961,789,False,73.6060606060606,70-75,Puszcza Niepołomice,Lech Poznań
